unit_id,unit_name,DName2016,median_land_share,median_implied_land_per_decimal,n_houses,share_negative,median_landonly_per_decimal,n_land
Wakiso/Gombe Division,Gombe Division,Wakiso,0.29352533333333336,1894028.8,29.0,0.6419753086419753,1698841.5018496704,104.0
Wakiso/Nabweru Division,Nabweru Division,Wakiso,,,,,,
Wakiso/Kasangati Town Council,Kasangati Town Council,Wakiso,0.4297399227799228,6024348.872180451,106.0,0.2980132450331126,3151494.719656106,148.0
Wakiso/Ndejje Division,Ndejje Division,Wakiso,0.7131533333333333,28731360.0,115.0,0.0873015873015873,10200000.0,80.0
Wakiso/Division A,Division A,Wakiso,0.6788034424242424,24121824.0,50.0,0.09090909090909091,6273770.491803279,112.0
Wakiso/Division B,Division B,Wakiso,,,,,,
Wakiso/Kakiri,Kakiri,Wakiso,,,,1.0,,2.0
Wakiso/Kakiri Town Council,Kakiri Town Council,Wakiso,,,4.0,0.5,1524601.3478138067,68.0
Wakiso/Kasanje,Kasanje,Wakiso,,,3.0,0.0,2003761.7714124317,27.0
Mukono/Nakisunga,Nakisunga,Mukono,,,2.0,0.3333333333333333,958320.8471972499,11.0
Mukono/Nagojje,Nagojje,Mukono,,,,,,
Mukono/Kyampisi,Kyampisi,Mukono,,,3.0,0.5,1132561.0012331135,11.0
Wakiso/Masuliita,Masuliita,Wakiso,,,,,,
Wakiso/Masulita Town Council,Masulita Town Council,Wakiso,,,,1.0,,
Wakiso/Mende,Mende,Wakiso,,,,,1655281.4633407043,6.0
Wakiso/Namayumba Town Council,Namayumba Town Council,Wakiso,,,,1.0,,1.0
Wakiso/Kyengera Town Council,Kyengera Town Council,Wakiso,0.22930036363636364,7438902.666666667,11.0,0.56,3375902.9844448576,10.0
Wakiso/Wakiso,Wakiso,Wakiso,0.5082628571428571,1086496.9696969697,15.0,0.4827586206896552,4356003.85089659,7.0
Wakiso/Wakiso Town Council,Wakiso Town Council,Wakiso,0.5183127272727273,8675360.0,246.0,0.3128491620111732,3136322.772645545,362.0
Wakiso/Kira Division,Kira Division,Wakiso,0.6075140740740741,18420266.666666668,665.0,0.06732117812061711,8333333.333333333,471.0
Wakiso/Kajjansi Town Council,Kajjansi Town Council,Wakiso,0.6546855390539832,23348918.260869563,300.0,0.044585987261146494,6201923.076923077,114.0
Buikwe/Wakisi Division,Wakisi Division,Buikwe,,,,,,
Mukono/Ntunda,Ntunda,Mukono,,,,,,
Mpigi/Kammengo,Kammengo,Mpigi,,,,,,
Mpigi/Mpigi Town Council,Mpigi Town Council,Mpigi,0.43482026666666673,2160432.0,6.0,0.3333333333333333,871200.7701793181,64.0
Mpigi/Muduuma,Muduuma,Mpigi,,,,,,
Mpigi/Kiringente,Kiringente,Mpigi,,,,1.0,,
Wakiso/Busukuma Division,Busukuma Division,Wakiso,0.2691641379310345,4566100.0,10.0,0.3333333333333333,2221561.9639572613,30.0
Mukono/Goma Division,Goma Division,Mukono,0.4193358904109589,6234092.307692308,140.0,0.2,4900000.0,142.0
Mukono/Nabbaale,Nabbaale,Mukono,,,1.0,0.0,,
Mukono/Seeta Namuganga,Seeta Namuganga,Mukono,,,,,,
Buikwe/Buikwe,Buikwe,Buikwe,,,,,,
Buikwe/Ssi-Bukunja,Ssi-Bukunja,Buikwe,,,,,,
Buikwe/Ngogwe,Ngogwe,Buikwe,,,,,,
Buikwe/Najja,Najja,Buikwe,,,,,,3.0
Buikwe/Nyenga Division,Nyenga Division,Buikwe,,,,,,
Wakiso/Namayumba,Namayumba,Wakiso,,,,,,
Mukono/Kimenyedde,Kimenyedde,Mukono,,,,,,
Luwero/Makulubita,Makulubita,Luwero,,,,1.0,,
Luwero/Luwero,Luwero,Luwero,,,,,,3.0
Luwero/Kikyusa,Kikyusa,Luwero,,,,,,
Luwero/Zirobwe,Zirobwe,Luwero,,,,,,1.0
Luwero/Katikamu,Katikamu,Luwero,,,,,,
Luwero/Wobulenzi Town Council,Wobulenzi Town Council,Luwero,,,,,,
Luwero/Bamunanika,Bamunanika,Luwero,,,,,,
Luwero/Nyimbwa,Nyimbwa,Luwero,,,,,,
Luwero/Kalagala,Kalagala,Luwero,0.5761152,490560.0,5.0,0.16666666666666666,500000.0,8.0
Luwero/Bombo Town Council,Bombo Town Council,Luwero,,,,1.0,150000.0,43.0
Luwero/Butuntumula,Butuntumula,Luwero,,,,,,1.0
Luwero/Kamira,Kamira,Luwero,,,,,,
Mukono/Mpatta,Mpatta,Mukono,,,,,,
Wakiso/Katabi  Town Council,Katabi  Town Council,Wakiso,0.5935692307692308,16231360.0,40.0,0.16666666666666666,6583333.333333334,72.0
Luwero/Luwero Town Council,Luwero Town Council,Luwero,,,,,,
Buikwe/Buikwe Town Council,Buikwe Town Council,Buikwe,,,,,,
Buikwe/Kawolo Division,Kawolo Division,Buikwe,,,,,,
Buikwe/Central Division,Central Division,Buikwe,,,,1.0,100000.0,5.0
Buikwe/Najjembe Division,Najjembe Division,Buikwe,,,1.0,0.0,,2.0
Buikwe/Njeru Division,Njeru Division,Buikwe,,,,,,
Buikwe/Nkokonjeru Town Council,Nkokonjeru Town Council,Buikwe,,,,,,
Mpigi/Buwama,Buwama,Mpigi,,,,,,
Wakiso/Bussi,Bussi,Wakiso,,,,,,
Mpigi/Kituntu,Kituntu,Mpigi,,,,,,
Mpigi/Nkozi,Nkozi,Mpigi,,,,,,
Mukono/Mpunge,Mpunge,Mukono,,,,,,
Mukono/Nama,Nama,Mukono,,,,,,
Mukono/Ntenjeru,Ntenjeru,Mukono,,,,,,
Mukono/Central Division,Central Division,Mukono,0.37664,3117674.074074074,81.0,0.38636363636363635,1834760.808688284,224.0
Mukono/Kasawo,Kasawo,Mukono,,,,,,1.0
Wakiso/Nansana Division,Nansana Division,Wakiso,0.2774690909090909,4701440.0,19.0,0.6666666666666666,5953205.262892007,6.0
Wakiso/Bunamwaya Division,Bunamwaya Division,Wakiso,0.8451845142439737,64671360.0,43.0,0.0,18000000.0,19.0
Wakiso/Masajja Division,Masajja Division,Wakiso,0.44308,15553213.793103449,26.0,0.1875,6326923.076923077,32.0
Wakiso/Bweyogerere Division,Bweyogerere Division,Wakiso,0.5183127272727273,9016895.238095239,29.0,0.14705882352941177,8733333.333333332,28.0
Wakiso/Namugongo Division,Namugongo Division,Wakiso,0.59504,16953497.14285714,319.0,0.11878453038674033,9000000.0,209.0
Mukono/Koome Island,Koome Island,Mukono,,,,,,
Kampala/Kawempe Division,Kawempe Division,Kampala,0.6146501818181819,20231360.0,101.0,0.17886178861788618,15666666.666666668,98.0
Kampala/Nakawa Division,Nakawa Division,Kampala,0.78784,34620135.384615384,457.0,0.053830227743271224,19801008.66451733,260.0
Kampala/Makindye Division,Makindye Division,Kampala,0.7934704,44975146.666666664,227.0,0.1062992125984252,30000000.0,95.0
